video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgxncVjXb3ZBnQgSHf14AaABAg,,0,@kez_12gameplay,9/2025_tes,2025-09-04T19:05:36Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugx6H2QtqfOgN3xRLR94AaABAg,,0,@gabrielagranados5392,❤❤❤❤❤❤❤❤me encanta 💖 😍 💕,2025-08-14T16:09:36Z,2
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgylV4uvk35mNrVMhGV4AaABAg,,0,@basiliaguzman3128,❤❤❤❤❤❤❤,2025-08-13T12:08:06Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgyLJtO9Z8lZwy2KW7F4AaABAg,,0,@Dipaksofficial22,이 노래 정말 좋았어요 ❤❤❤,2025-07-26T13:28:54Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgzAaGF3VBx4KdK21Vt4AaABAg,,0,@ClaudeteRochaDaSilva,Muito bom Diva a deriva na Netflix,2025-06-30T07:56:29Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugy0CfgkETWoFabPlIR4AaABAg,,0,@LuanNunes-c8g,"Linda música, é qui bela voz",2025-06-01T01:21:37Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgyTdphTUQkWTJkl_cd4AaABAg,,0,@emmanuelceballos1447,Que hermosa voz!!!,2025-05-20T05:34:06Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgzslpEYb54XHa0VWaF4AaABAg,,0,@yanimn2010,"PARK EUN BIN YOUR VOICE IS TOO BEAUTIFUL, THANK YOU FOR DOING THIS DRAMA, I LISTEN TO YOUR SONGS EVERY DAY, YOU ARE THE BEST 🥰",2025-04-12T03:33:53Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgynmfesGledMOLBA694AaABAg,,0,@silvanamelo8609,Amo  cada um de seus personagens 😍ator super talentoso e bonito 😍 🇧🇷🫰🏻,2025-04-11T14:12:26Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgyiRwBCFH_2vMN_hmt4AaABAg,,0,@YUSUNFlower,1:51,2025-04-07T03:20:55Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgyZfsE8_DL-9KmU1754AaABAg,,0,@jcbells6720,사랍 마 인랍😉sarap ma inlove sa kdrama na to☺️nkakawala ng stress🥰,2025-04-06T06:52:47Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgzjgLhXUQisbtHCdv54AaABAg,,0,@mariarinta-rahko958,Beautiful song and beautiful singing voice❤❤❤,2025-04-05T13:32:55Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugw0JgxWJORhziD45aN4AaABAg,,0,@ЭльвираМухаметзянова-э4ъ,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2025-03-31T21:02:54Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgyxQ5zfKy0Yko0VDN14AaABAg,,0,@valkyre65ntx,"I went to listen to another song here on YT and had it playing in the background, just working away and then it changed to this song. I literally stopped in time and went back to watch/listen to this. It will be the most amazing 4 minutes of my day today.  I have loved everything she has done dramatically/commercially/singing/playing /etc... There are very few artists that can do what she does. I appreciate her gifts, everyday. <3",2025-03-13T17:18:32Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgxapaKbLxOcIxJKVSF4AaABAg,,0,@KittyNavarro-wq4jz,im not korean im  filipino...but i love korean song...if im sad the korean can make feel better,2025-03-10T10:58:08Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgxJYVFmEaBZrHezJG54AaABAg,,0,@eldergeektromeo9868,There is only one word for everything she does: Stunning!,2025-02-07T20:43:48Z,2
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugyotf0o4c-Qdys2BgB4AaABAg,,0,@laurence-b83,Actrice et chanteuse magnifique.,2025-02-07T17:56:02Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgzhrrPU05UtjrmGDpJ4AaABAg,,0,@icekingjames8791,Park eun bin is a Queen 👑,2025-02-02T06:28:50Z,4
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugzgi21u5BaVyrpGYXR4AaABAg,,0,@Yrano,음색이 꿀이네ㅠㅠㅠㅠㅠ,2025-01-16T09:42:20Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgxqqlNoKhUgU_iNnCR4AaABAg,,0,@amarhakhan9884,It's so soothing 😊,2025-01-13T18:25:42Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugz9V-GCOu-H4z25NuJ4AaABAg,,0,@carmendeleon4771,Pero que manera de cantar bella bellísima  me encantó,2024-12-13T20:09:37Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugy7wiqMw3UDj5d3KrF4AaABAg,,0,@alinemoraes9256,"Amei eles, muito linda a série divã a deriva❤",2024-12-05T11:45:46Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgztvPISn-dQA-0PoVV4AaABAg,,0,@mirtadipardo,Hermosa canción y excelente actriz❤❤❤❤,2024-11-28T01:24:15Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,Ugy-XPVW7ZBWiLlomit4AaABAg,,0,@gabrielpech9714,Los critica a Park eun bin don malos y nada mas piensan en ellos,2024-10-25T19:27:50Z,0
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgwVHZXVzG4vaCrAjVJ4AaABAg,,0,@sylviaperez1524,"Me encanta  cómo   canta tiene  una hermosa  voz, no me cansó  escucharla",2024-10-21T22:58:42Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgxStFfb7sYg3-3Gmv54AaABAg,,0,@miyoo6707,I am really impressed with her acting and singing. She is one of my favorite Korean actresses. Keep up the good work!,2024-10-17T01:07:27Z,2
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgwqvOQtbIQzwGFXvax4AaABAg,,0,@김양균-i5f,"요즘 비슷한 드라마 장르 '정년이'를 보면서 문득 '무인도의 디바'가 생각났어요. 

배우/가수 박은빈님의 청명한 노래에 다시 심취합니다. 연기를 잘하면 다른 예능도 통달하나 봅니다. 계속 명품 연기 부탁합니다.",2024-10-13T00:03:37Z,1
fCCzo-7EAHw,[MV] PARK EUN BIN(박은빈) _ Open Your Eyes (CASTAWAY DIVA(무인도의 디바) OST 서목하 (박은빈) Vol.4),Clip,UgzVYWyVghAw8EITSUl4AaABAg,,0,@luizaminegirl6549,"❤🇧🇷🇧🇷 muito linda cantando🇧🇷🇧🇷❤
❤ 🇧🇷🇧🇷 muito talentosa🇧🇷🇧🇷❤
❤ 🇧🇷🇧🇷 do outro lado do mundo, curtindo essa voz maravilhosa 🇧🇷🇧🇷❤
❤🇧🇷🇧🇷 LITORAL SUL BRASIL 🇧🇷🇧🇷❤",2024-10-12T22:04:39Z,1
